asn_organization,last_seen_date,latitude,longitude,validator_count
"Namecheap, Inc.",2025-03-03 17:18:12.000 UTC,33.4,-112.1,1
Allnodes Inc,2025-03-03 16:42:11.000 UTC,50.1,8.8,1
VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,2025-03-03 16:36:41.000 UTC,38.2,21.7,2
netcup GmbH,2025-03-03 16:32:11.000 UTC,48.2,16.4,1
OVH SAS,2025-03-03 16:14:42.000 UTC,45.5,-122.7,1
Allnodes Inc,2025-03-03 16:12:11.000 UTC,50.1,8.8,1
Allnodes Inc,2025-03-03 15:52:11.000 UTC,50.1,8.8,1
Allnodes Inc,2025-03-03 15:47:41.000 UTC,50.1,8.8,1
Allnodes Inc,2025-03-03 15:45:11.000 UTC,50.1,8.8,1
"Comcast Cable Communications, LLC",2025-03-03 14:31:42.000 UTC,37.7,-122.5,1
"Frontier Communications of America, Inc.",2025-03-03 14:09:12.000 UTC,33.0,-96.7,1
OVH SAS,2025-03-03 12:38:12.000 UTC,45.3,-73.9,48
Allnodes Inc,2025-03-03 11:47:41.000 UTC,50.1,8.8,1
Exaion SASU,2025-03-03 11:26:41.000 UTC,48.9,2.3,1
Allnodes Inc,2025-03-03 10:20:11.000 UTC,50.1,8.8,1
Hetzner Online GmbH,2025-03-03 10:05:11.000 UTC,60.2,24.9,1
Hetzner Online GmbH,2025-03-03 08:58:41.000 UTC,50.5,12.4,1
Hetzner Online GmbH,2025-03-03 07:35:41.000 UTC,50.5,12.4,1
Hetzner Online GmbH,2025-03-03 06:42:11.000 UTC,50.5,12.4,1
OVH SAS,2025-03-03 05:42:12.000 UTC,1.3,103.9,2
HGC Global Communications Limited,2025-03-03 05:16:43.000 UTC,22.3,114.2,1
Mythic Beasts Ltd,2025-03-03 05:09:11.000 UTC,51.5,-0.1,1
OVH SAS,2025-03-03 05:03:11.000 UTC,48.6,7.7,1
Hetzner Online GmbH,2025-03-03 04:59:11.000 UTC,50.5,12.4,1
OVH SAS,2025-03-03 03:34:42.000 UTC,1.3,103.9,1
Hetzner Online GmbH,2025-03-03 02:51:11.000 UTC,50.5,12.4,1
"Alibaba (US) Technology Co., Ltd.",2025-03-02 22:42:12.000 UTC,35.7,139.7,2
OVH SAS,2025-03-02 22:27:11.000 UTC,50.7,3.2,1
KPN B.V.,2025-03-02 22:11:41.000 UTC,52.2,5.4,1
OVH SAS,2025-03-02 22:03:13.000 UTC,1.3,103.9,2
M247 Europe SRL,2025-03-02 21:57:13.000 UTC,34.0,-118.3,7
MEVSPACE sp. z o.o.,2025-03-02 20:49:11.000 UTC,52.2,21.0,1
TPG Telecom Limited,2025-03-02 20:48:43.000 UTC,-37.8,145.0,1
VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,2025-03-02 20:32:12.000 UTC,38.2,21.7,2
Charter Communications Inc,2025-03-02 20:14:12.000 UTC,43.8,-71.7,1
Hetzner Online GmbH,2025-03-02 19:52:41.000 UTC,50.5,12.4,1
Hetzner Online GmbH,2025-03-02 19:52:41.000 UTC,50.5,12.4,1
Virgin Media Limited,2025-03-02 18:46:41.000 UTC,52.5,-1.5,1
"Dynascale Technologies, Inc.",2025-03-02 14:52:12.000 UTC,33.7,-117.8,1
Google LLC,2025-03-02 13:15:14.000 UTC,50.1,8.7,61
Hetzner Online GmbH,2025-03-02 12:44:11.000 UTC,60.2,24.9,1
Verizon Business,2025-03-02 10:06:42.000 UTC,40.7,-74.0,1
"ANDORRA TELECOM, S.A.U.",2025-03-02 08:26:41.000 UTC,42.5,1.5,1
TELEFONICA DE ESPANA S.A.U.,2025-03-02 06:24:41.000 UTC,41.2,1.5,1
Oracle Corporation,2025-03-02 02:59:12.000 UTC,39.0,-77.5,13
Free SAS,2025-03-02 01:07:41.000 UTC,48.9,2.3,1
"AT&T Services, Inc.",2025-03-02 00:08:12.000 UTC,39.8,-86.2,1
Swisscom (Schweiz) AG,2025-03-01 23:30:41.000 UTC,47.1,8.3,1
"Interserver, Inc",2025-03-01 23:03:11.000 UTC,40.7,-74.0,1
Hetzner Online GmbH,2025-03-01 21:40:11.000 UTC,60.2,24.9,1
Korea Telecom,2025-03-01 20:16:13.000 UTC,37.6,127.0,57
Hetzner Online GmbH,2025-03-01 19:01:42.000 UTC,60.4,25.0,61
TV Alphaville Sistema de TV por Assinatura LTDA,2025-03-01 18:24:42.000 UTC,-23.5,-46.9,8
Free SAS,2025-03-01 18:08:11.000 UTC,48.9,2.3,1
MyRepublic Ltd.,2025-03-01 15:57:42.000 UTC,1.3,103.9,1
Virgin Media Limited,2025-03-01 14:17:11.000 UTC,51.8,0.1,58
OVH SAS,2025-03-01 13:36:12.000 UTC,45.5,-73.6,1
Google LLC,2025-03-01 11:01:42.000 UTC,25.1,121.5,9
Skoed Limited,2025-03-01 10:39:41.000 UTC,35.9,14.5,61
"Charter Communications, Inc",2025-03-01 07:26:42.000 UTC,28.7,-81.2,1
OVH SAS,2025-03-01 07:16:11.000 UTC,39.0,-77.5,1
Hetzner Online GmbH,2025-03-01 06:20:11.000 UTC,60.2,24.9,1
OVH SAS,2025-03-01 06:02:12.000 UTC,1.3,103.9,5
OVH SAS,2025-03-01 03:12:41.000 UTC,50.1,8.7,1
OVH SAS,2025-03-01 01:20:11.000 UTC,48.6,7.7,61
Midcontinent Communications,2025-02-28 22:20:46.000 UTC,45.5,-98.5,7
Korea Telecom,2025-02-28 22:13:13.000 UTC,37.6,127.0,1
UNINET,2025-02-28 22:12:42.000 UTC,19.2,-96.1,1
"Frontier Communications of America, Inc.",2025-02-28 21:32:42.000 UTC,32.9,-96.6,1
Iway AG,2025-02-28 19:46:41.000 UTC,47.4,8.6,1
Hetzner Online GmbH,2025-02-28 19:21:11.000 UTC,60.4,25.0,61
Superloop,2025-02-28 19:12:16.000 UTC,-27.5,153.0,1
Hetzner Online GmbH,2025-02-28 18:31:41.000 UTC,60.2,24.9,1
OVH SAS,2025-02-28 18:18:11.000 UTC,45.3,-73.9,1
Contabo GmbH,2025-02-28 18:16:41.000 UTC,51.2,6.8,1
OVH SAS,2025-02-28 16:24:42.000 UTC,1.3,103.9,3
Datacamp Limited,2025-02-28 16:18:11.000 UTC,48.9,2.3,1
Hetzner Online GmbH,2025-02-28 16:14:13.000 UTC,60.2,24.9,61
Hetzner Online GmbH,2025-02-28 15:54:45.000 UTC,60.4,25.0,61
"Amazon.com, Inc.",2025-02-28 15:33:11.000 UTC,53.3,-6.2,1
Init7 (Switzerland) Ltd.,2025-02-28 15:28:11.000 UTC,47.7,8.6,1
Korea Telecom,2025-02-28 14:48:43.000 UTC,37.4,127.1,1
Hetzner Online GmbH,2025-02-28 13:57:41.000 UTC,60.4,25.0,61
Hetzner Online GmbH,2025-02-28 13:56:41.000 UTC,60.4,25.0,61
Free SAS,2025-02-28 13:33:41.000 UTC,48.9,2.3,1
Hetzner Online GmbH,2025-02-28 11:57:11.000 UTC,60.2,24.9,1
Skoed Limited,2025-02-28 11:35:41.000 UTC,35.9,14.5,61
DIGI SPAIN TELECOM S.L.,2025-02-28 11:34:41.000 UTC,40.4,-3.7,1
"Amazon.com, Inc.",2025-02-28 10:00:11.000 UTC,53.3,-6.2,1
Hetzner Online GmbH,2025-02-28 09:30:11.000 UTC,50.5,12.4,1
Contabo GmbH,2025-02-28 09:16:41.000 UTC,50.1,8.7,1
OVH SAS,2025-02-28 08:32:34.000 UTC,-33.9,151.2,4
Hetzner Online GmbH,2025-02-27 23:55:41.000 UTC,60.4,25.0,61
"Comcast Cable Communications, LLC",2025-02-27 23:09:42.000 UTC,37.8,-79.4,1
Skoed Limited,2025-02-27 23:08:41.000 UTC,35.9,14.5,61
"Amazon.com, Inc.",2025-02-27 22:33:42.000 UTC,39.0,-77.5,1
